"seata/seata","false","1347","15","develop","31","219","Apache License 2.0","883","21069","6984","9035","2018-12-28 08:37:22.0","2021-11-05 16:08:38.0","2021-11-07 03:49:01.0","https://seata.io","Java","2328","510","1779","68","2021-11-05 03:16:45.0","a39d03b5b32617e444b7ec3154b8d411b3784cae","true","false","Java,ANTLR,TypeScript,SCSS,Shell,Kotlin,Batchfile,Less,Python,Mustache,Lua,Dockerfile","apm,apm/skywalking,closed: declined,closed: duplicate,closed: invalid,closed: solved,closed: superseded,closed: temporarily-not-supported,DB: H2,DB: MySQL,DB: Oracle,DB: PgSQL,DB: PostgreSQL,DB: SQLServer,DL: MyCat,DL: Sharding-JDBC,Do Not Merge,first-time contributor,for: external-project,for: team-attention,for: team-meeting,good first issue,Impact Upgrade,mode: AT,mode: LCN,mode: SAGA,mode: TCC,mode: XA,module/common,module/compressor,module/config,module/console,module/core,module/discovery,module/distribution,module/integration,module/metrics,module/registry,module/rm,module/rm-datasource,module/saga,module/script,module/seata-spring-boot-starter,module/serializer,module/server,module/spring,module/sqlparser,module/tcc,module/test,module/tm,MQ: RocketMQ,ORM,ORM: JPA,ORM: MyBatis,ORM: MyBatis-Plus,priority: high,priority: low,priority: normal,priority: urgent,RM,RPC,RPC-Registry,RPC: Dubbo,RPC: Motan,RPC: SpringCloud,size: L,size: M,size: S,size: XL,size: XS,size: XXL,solution,solution/build,solution/MySQL,solution/Oracle,solution/RegistrationCenter,status: feedback-provided,status: feedback-reminder,status: help-wanted,status: inactive,status: merge-conflict,status: on-hold,status: to-be-discussed,status: to-be-supported,status: waiting-for-feedback,status: waiting-for-triage,Summer2021,TC,TC/store,testing/performance,testing/stress,theme: ASoC2020,theme: code style,theme: config,theme: DB support,theme: demo,theme: docker,theme: experience,theme: HA,theme: netty,theme: network,theme: performance,theme: storage,theme: wiki-document,TM,type: bug,type: bug-suspected,type: discussion,type: enhancement,type: feature,type: notice,type: optimize,type: question,type: refactor,type: solution,Upgrade Notice,waiting-for-triage,waitting-to-merge,website: seata.io,weekly-report,wontfix"
"okta/okta-spring-boot","false","529","21","master","21","15","","51","229","98","3066","2017-07-21 17:15:55.0","2021-10-12 13:57:28.0","2021-10-12 13:57:29.0","","Java","120","6","238","2","2021-10-12 13:57:26.0","82c99e29396218625f9fddfe2abde30d9cca1ea0","true","false","Java,Groovy,Shell","2018.27 7/16-7/27,Analysis,bug,dependencies,duplicate,enhancement,help wanted,In Progress,invalid,java,need more details,OKTA-383228,OKTA-409487,Published,question,readme update,Triaged,validate,wontfix"
"apache/mina-sshd","false","2430","4","master","0","47","Other","37","458","227","17734","2010-05-26 23:38:08.0","2021-11-05 18:21:59.0","2021-11-07 06:03:32.0","","Java","0","0","205","7","2021-11-04 22:33:57.0","20d4e44454d8812ec0f012c795a2c7a27c17f348","false","false","Java,Shell,Batchfile,Python,HTML,Dockerfile",""
"julianhyde/sqlline","false","388","14","main","12","27","BSD 3-Clause New or Revised License","18","469","135","2435","2013-03-15 16:45:40.0","2021-11-03 19:27:39.0","2021-11-03 19:27:42.0","","Java","251","38","206","7","2021-11-03 08:32:14.0","fc8d3a6b71aa478d7bb218e6e032d46570269f1c","true","false","Java,Shell,Batchfile","bug,dependencies,duplicate,enhancement,invalid,question,wontfix"
"togglz/togglz","false","999","67","master","14","77","Apache License 2.0","33","717","219","2812","2011-12-21 16:49:03.0","2021-11-04 09:24:18.0","2021-11-04 09:24:23.0","http://www.togglz.org/","Java","266","56","344","8","2021-11-04 09:24:18.0","6428c8a5468676447f2692fae50afe95ea98a884","true","false","Java,Groovy,Kotlin,HTML,CSS","bug,dependency-update,documentation,github_actions,help-wanted,java,new-feature,support,waiting-for-feedback,won't fix"
"yegor256/cactoos","false","2755","3","master","84","73","MIT License","30","650","160","4537","2017-05-23 16:00:02.0","2021-10-23 16:51:11.0","2021-10-23 17:51:18.0","http://www.cactoos.org","Java","894","62","738","1","2021-10-23 16:51:11.0","074f9e38ac843eb88db3925a7f4258a4a9c2fc4c","true","false","Java","0crat/new,0crat/role/DEV,0crat/role/REV,0crat/scope,bug,dependencies,duplicate,enhancement,experimental,help wanted,invalid,pdd,qa,quality/acceptable,quality/bad,quality/good,question,role/DEV,role/REV,scope,waiting,wontfix"
"eclipse-ee4j/jaxrs-api","false","384","6","master","1","31","Other","48","233","83","3630","2018-01-12 22:00:41.0","2021-11-04 15:14:44.0","2021-11-04 15:12:33.0","","Java","794","243","257","8","2021-11-04 15:12:29.0","e3f40c0ce79b9f82830acc2149e423742fda2875","true","false","Java,Shell","accepted,api,bug,build,cache,certification,challenge,clarification,Component: client,Component: filters&handlers,Component: hypermedia,Component: injection,Component: model api,Component: providers,Component: runtime,Component: server,Component: spec,dependencies,duplicate,enhancement,Epic,GlassFish 5.1,good first issue,help wanted,invalid,javadoc,mvc,performance,project,question,rejected,release,security,spec,sse,tck,wave:4,wiki,wip,wontfix"
"damianszczepanik/cucumber-reporting","false","1251","1","master","0","67","GNU Lesser General Public License v2.1","67","456","365","23260","2012-07-05 23:20:43.0","2021-10-22 20:47:43.0","2021-10-22 20:47:46.0","","Java","394","28","631","8","2021-10-22 20:47:42.0","41473c1c93ae5a627f1d400a19b42fdd5fbbf331","false","false","Java,CSS,JavaScript","bug,dependencies,duplicate,enhancement,not-JVM"
"decorators-squad/eo-yaml","false","845","5","master","42","14","BSD 3-Clause New or Revised License","14","209","37","1376","2016-12-28 10:34:25.0","2021-10-16 08:29:09.0","2021-10-18 02:29:18.0","","Java","277","19","200","2","2021-10-16 08:29:06.0","1fd41c48ba44a3cb39b25fd1d2fccfc4a2e7eabb","true","false","Java,Shell","@amihaiemil,@brinstong,@criske,@dwkielman,@newmana,@rodriguesmoises,@salikjan,@SherifWaly,15min,1h,2h,30 min,60 min,ARCH,Blocks Release,Bounty: 10$,Bounty: 15$,bug,dependencies,development issue,duplicate,enhancement,good first issue,help wanted,High Prio,invalid,Low Prio,Medium Prio,no-task,postponed,puzzle,question,release,wontfix"
"dlsc-software-consulting-gmbh/preferencesfx","false","1227","19","master-11","24","19","Apache License 2.0","23","489","56","4412","2018-04-04 08:19:16.0","2021-10-08 04:23:12.0","2021-10-08 13:21:48.0","","Java","78","28","304","16","2021-06-15 11:49:48.0","9e46d30d8ecf6f5a9af8283b0b667a82261a51f9","true","false","Java,CSS,Shell","awaiting feedback,breaking,bug,cleanup,dependencies,deprecated,duplicate,enhancement,good first issue,help wanted,invalid,question,security,wontfix,workaround available"


